source_id,ra,ra_error,parallax,parallax_error,bp_rp,phot_g_mean_mag,dec
5853498713190525696,217.39232147200883,0.023999203,768.0665391873573,0.049872905,3.8045802,8.984749,-62.67607511676666
4472832130942575872,269.44850252543836,0.026238997,546.975939730948,0.040116355,2.8336968,8.1939745,4.739420051112412
3864972938605115520,164.10319030755974,0.06683743,415.17941567802137,0.06837086,4.1848364,11.038391,7.002726940984864
762815470562110464,165.83095967577933,0.024125582,392.75294543876464,0.03206665,2.2156086,6.551172,35.948653032660104
2947050466531873024,101.28662552099249,0.16483414,374.48958852876103,0.2313347,-0.27842712,8.524133,-16.720932526023173
5140693571158946048,24.771674208211856,0.33532688,373.8443122683992,0.50087124,3.8285542,10.817838,-17.947682860008488
5140693571158739840,24.771554293454546,0.427904,367.71189618147696,0.74180114,3.7529564,10.507542,-17.948299887129313
4075141768785646848,282.4587890175222,0.029065154,336.0266016683708,0.031666122,2.8340364,9.126414,-23.83709744872712
1926461164913660160,355.4800152581559,0.03218242,316.48118678226916,0.044448785,3.5294142,10.379277,44.170375700747755
5164707970261890560,53.22829341517546,0.12144193,310.5772928005821,0.13549915,1.1402977,3.465752,-9.458168216292322
6553614253923452800,346.5039166796005,0.017067203,304.1353692001036,0.01999573,2.0982852,6.5220323,-35.8471642082214
3796072592206250624,176.93768799004127,0.027359888,296.3053079139394,0.030185517,3.0332584,9.601,0.7991199702364985
1872046574983497216,316.753662752556,0.018972972,286.0053518616485,0.028940246,1.7153406,5.4506445,38.75607277205679
1872046609345556480,316.7484792940004,0.03876041,285.99494829578117,0.05989728,1.4625897,4.766713,38.76386244649797
2154880616774131840,280.6830708352289,0.021600218,283.8401180184389,0.021992655,2.4610577,7.854393,59.638357907754816
2154880616774131712,280.68308624583415,0.030707553,283.8377678450057,0.028684631,2.625472,8.524704,59.635145454818776
385334230892516480,4.613226257557736,0.0144063365,280.706821579123,0.020284552,2.164384,7.218567,44.02478674398518
385334196532776576,4.625300681217554,0.020594174,280.6947310460246,0.027839076,2.8360271,9.686646,44.02874451664357
703790044252850688,127.45009240230564,0.055188563,279.2496391012477,0.06372576,4.3975945,12.167455,26.77328596508202
6412595290592307840,330.8724078795965,0.0686946,274.8431415216296,0.09561499,1.2974195,4.322904,-56.79725466122902
2452378776434477184,26.009055057160104,0.11874772,273.80974511859966,0.17013045,1.0512211,3.3003998,-15.933680200693857
4848140361962951552,54.00339387736301,0.026093582,272.16154083178225,0.031645775,3.6653757,10.995456,-44.51436231604776
6412596012146801152,331.07645259656397,0.50480086,270.6580324694526,0.6895573,5.0819645,18.030664,-56.79381206688221
2358524597030794112,18.13325425370941,0.024294445,269.05730465038937,0.03366602,3.1970692,10.436525,-16.996154872479234
3139847906307949696,111.85462844259372,0.038775597,264.12689775460655,0.04127979,2.7577581,8.576388,5.209382701706996
35227046884571776,43.26964247679057,0.07458868,260.98844068047276,0.09342672,4.5285025,12.263103,16.86437381897744
4810594479418041856,77.9599373502188,0.015058955,254.19859326384577,0.016842743,2.0266457,8.063552,-45.0438126993602
6583272171336048640,319.2950181380955,0.025754329,251.9124222107058,0.03516071,1.8535872,5.984104,-38.872456400701786
6439125097427143808,281.29804386226,0.07134625,249.6651458904217,0.1330301,5.11292,14.005345,-63.96056736658412
5393446658454453632,162.05388771666577,0.033428483,247.21558692230735,0.051197793,5.153656,14.005882,-39.93962594730691
4330690742322011520,247.57481416249274,0.024267858,232.13898083974135,0.026823945,2.7315807,8.801877,-12.66785108081103
2552928187080872832,12.296740250462333,0.016580552,231.7799995322092,0.018272836,0.5975876,12.299163,5.376556608426358
