designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
"Gaia DR3 4107258331692739968",4107258331692739968,281.44360324849515,-9.936349266324271,,,,,20.802292,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4251407462807750144",4251407462807750144,281.4560877325943,-9.391364720114966,-0.2592659934732041,-3.9286053293699617,-7.18520381357026,1.0221514,19.869034,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4251501131818513408",4251501131818513408,280.79011236578714,-8.802268752625466,-0.23809376992448053,-2.8700465173146967,-3.782638465438312,1.1379884,20.336231,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4251410933166063232",4251410933166063232,281.5369464694652,-9.245686364227161,,,,,19.70008,2.0030708,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4251412140035031424",4251412140035031424,281.349037614039,-9.290745904642636,-0.3190094061039767,-3.9164806571139317,-1.8767595160960617,0.9717328,19.504782,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4251412140035032576",4251412140035032576,281.3477390016019,-9.291767721531125,,,,,19.053541,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4251412140035044480",4251412140035044480,281.34989224648217,-9.288537601193372,,,,,19.64253,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4253555844127722880",4253555844127722880,281.90736515027015,-5.41098687892953,1.187855211235868,-1.3647585112479919,-0.7499062827334801,1.4821453,17.837923,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4253559005229822080",4253559005229822080,281.6473376639451,-5.377453231589434,0.14360180712300466,-3.093064519021597,-6.900509709435863,0.95939285,19.253197,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4253562235058174336",4253562235058174336,281.3927484558105,-5.483744362852935,0.549045509215695,-1.4720826554521924,-2.274673010095857,1.2222047,20.117912,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4106143323784712832",4106143323784712832,282.5638699775251,-11.084874220172537,,,,,20.844536,2.4902782,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4106143323784716416",4106143323784716416,282.5725581199922,-11.076907639241101,0.8691317015835787,-5.727981820554466,-6.965902099655473,0.9533832,20.305151,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4106144869978984960",4106144869978984960,282.3517030948512,-11.136805510228694,-0.027223445182320557,-4.193989843391968,-2.2967038884233397,1.0843624,19.404469,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4204041330847859072",4204041330847859072,283.6388485552445,-8.004023984793186,-1.0447894627155911,-1.5952764648347735,-3.275899897897115,1.1580212,20.128168,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4203481095319128960",4203481095319128960,282.3837208934968,-9.095056341712965,1.1208858032435283,4.141165651158036,-1.2998353340542486,1.0667449,19.3424,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4203481095319142528",4203481095319142528,282.3783977096312,-9.099095556605763,,,,,18.621931,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4203481095319142656",4203481095319142656,282.3786539482314,-9.098904186766838,-0.44360454165435304,-2.341283192210495,-5.3118294571852065,1.0289803,17.765747,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 4203559366770144512",4203559366770144512,284.37515498057957,-9.261715360263272,,,,,20.045893,2.137169,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4203483294355991168",4203483294355991168,282.2020843019797,-9.10171414032348,,,,,20.59073,2.0108109,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4203559366770145152",4203559366770145152,284.3704042698084,-9.265704680663136,,,,,20.095192,1.4200687,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4203563283780748928",4203563283780748928,284.30235484505954,-9.235406381030758,0.6981457844869152,-4.7300643813984244,-3.559424105724781,1.5494576,19.883516,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4251926986426928384",4251926986426928384,281.19664917932926,-7.732867152699745,-0.6572157279373854,-2.2274718815474954,-5.407738554669813,1.064304,19.463614,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4251926986426928512",4251926986426928512,281.19574406271954,-7.7338464497715576,,,,,18.852592,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4251926986426932096",4251926986426932096,281.20131857024484,-7.7286573471495865,0.1710613649582476,-4.365344985883721,-7.622823847955961,0.9555822,19.739391,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4251947877163190016",4251947877163190016,280.9817717743935,-7.53731365124185,0.29746227719281,-4.515262092863824,-6.793691662557139,1.1129775,19.165512,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4261825717740019456",4261825717740019456,285.0405317023353,-2.6333333501496217,-0.20397660252209399,-1.1714192150072213,-6.68506465499298,1.0074942,19.434198,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4261825717740019712",4261825717740019712,285.0470372270627,-2.62767592217354,,,,,20.34551,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155297884421611264",4155297884421611264,280.25673079336866,-9.881262259561424,0.6521211951236127,-2.728384861972033,-4.471666671858332,1.0447551,20.282492,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155431165836189952",4155431165836189952,279.3838479007831,-9.827740948982877,1.9196518410659336,-0.16999506768050038,-5.56549614522209,1.1821969,20.581823,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155431165836198656",4155431165836198656,279.3798384452551,-9.82576661601707,,,,,20.594975,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155431165836706048",4155431165836706048,279.3875137602121,-9.827626816372785,,,,,20.642954,2.5905285,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155431165836707328",4155431165836707328,279.3876510749913,-9.832334527473279,,,,,20.79355,2.4793282,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155431165836891136",4155431165836891136,279.3758665195678,-9.832578141659525,,,,,20.866608,2.668705,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155431165837154432",4155431165837154432,279.38128509634333,-9.838601811479624,,,,,20.80276,2.9458256,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155301423467913984",4155301423467913984,280.61032413935345,-9.823425159935697,-0.7005813754209492,-2.3403244973232664,-5.877499718201322,0.9759171,19.817083,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4254163221247309952",4254163221247309952,283.6847165270685,-5.35964605268096,-1.029693562085225,-1.5943276168357052,-4.355475598040935,0.9852816,20.258636,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4254163221247310976",4254163221247310976,283.68125343557836,-5.363782708798814,,,,,17.839716,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155674295385071360",4155674295385071360,280.0852859853848,-8.658636147722945,,,,,20.878498,2.4408283,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155674295385073280",4155674295385073280,280.0874431592615,-8.658466819993329,,,,,20.885855,2.9088154,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155674295385075840",4155674295385075840,280.0888345551854,-8.659732924312044,,,,,20.952501,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155674295385076224",4155674295385076224,280.091336704504,-8.657377966074755,,,,,20.54589,2.388792,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155674295385077376",4155674295385077376,280.0865893651455,-8.663517174276832,,,,,20.771555,2.3897266,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155674295385294208",4155674295385294208,280.091635457043,-8.65664077533917,,,,,20.70061,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155674295385493120",4155674295385493120,280.09319965371236,-8.660791138575465,,,,,20.926733,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155674295385498880",4155674295385498880,280.0851983734217,-8.660644961849318,,,,,20.948833,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155536753328978816",4155536753328978816,279.3895644145959,-9.210026589328715,0.25787169582267927,-1.0002627531832462,-3.0478332279400537,1.0964729,18.874943,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155536753328979840",4155536753328979840,279.3912109344571,-9.208569736597278,,,,,20.999828,1.7338753,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155459203391378304",4155459203391378304,279.69084331352104,-9.721118872824588,,,,,20.609186,2.0846043,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155459203391378688",4155459203391378688,279.6840825500071,-9.716375692765723,,,,,20.824503,1.4764919,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155459203391379328",4155459203391379328,279.68522833716486,-9.719207839095581,,,,,20.51817,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155459203392037376",4155459203392037376,279.6880679014586,-9.709252364842158,,,,,20.82488,2.5893402,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155459203392039168",4155459203392039168,279.68749914817283,-9.712064038012429,,,,,21.00836,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155459203392039680",4155459203392039680,279.68430342370925,-9.7154428960811,,,,,20.724659,2.5092735,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155459203392041088",4155459203392041088,279.68217758410134,-9.718706769805612,,,,,20.28098,2.5768566,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155459203392047616",4155459203392047616,279.6887739575755,-9.719800823603485,,,,,20.479244,4.0053635,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155459203392050048",4155459203392050048,279.6947656288871,-9.717946239061645,,,,,20.708662,1.7248974,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155459203392051200",4155459203392051200,279.69473629558036,-9.719550584160269,,,,,20.87208,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155459203392051712",4155459203392051712,279.693661177419,-9.721744605283613,,,,,20.946539,1.7763596,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155459203392112256",4155459203392112256,279.69961985960015,-9.716944192938247,,,,,21.009907,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155459203392113664",4155459203392113664,279.69782194680386,-9.716310581285192,,,,,20.885578,2.6471195,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155459203392114560",4155459203392114560,279.69813871731975,-9.715594139147038,,,,,20.629116,1.582655,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155459203392117888",4155459203392117888,279.68525741483484,-9.721934420249848,,,,,20.610437,2.489273,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155459203392123904",4155459203392123904,279.6914157950148,-9.712277813455684,,,,,20.74863,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155459203392611584",4155459203392611584,279.69174324139726,-9.723994474156386,,,,,20.870846,1.8381481,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4155459203392622848",4155459203392622848,279.68633985987714,-9.716844024557483,,,,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4205622943996835968",4205622943996835968,284.4094230334309,-6.921175896175049,0.2961851711042758,-2.849023353988059,-6.002169665773778,1.0254021,19.228325,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4205628097934753024",4205628097934753024,284.6728727894394,-7.040603364278489,0.0029001767520320278,-1.6188497483988382,-6.394448453297764,0.9639712,20.224604,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4205628097934754560",4205628097934754560,284.6754327807053,-7.038175850288308,1.7307859682993179,-3.7101169342998896,-6.469204011407806,1.1524172,20.150913,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4255327466613851520",4255327466613851520,282.3893593185997,-3.845717326923356,0.18760713947138233,-2.71434947496757,-4.382605386116513,1.0965058,19.727339,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4202823965313694208",4202823965313694208,284.97428889313073,-9.263211362319874,0.45226690018771576,-1.8286155013736516,-0.09533371388807352,1.0931458,19.750374,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4251563941363415680",4251563941363415680,281.81918071083095,-8.606236648729,-0.847552191306939,-2.4988526536332873,-5.98116187573041,1.0822936,20.307137,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4251633519879700992",4251633519879700992,281.4551613479816,-8.342812864352071,0.9889058658935406,3.9842385549270567,3.7865421919159976,1.1026089,19.972065,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4251655578859247616",4251655578859247616,282.2417510137378,-8.108326385377477,-0.5433088475741944,0.5428884183034968,-3.918757346936588,1.0292977,20.288107,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4251655578859249024",4251655578859249024,282.24267874975635,-8.109334412159482,,,,,20.318521,1.5776272,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4251655578859265024",4251655578859265024,282.24224873144107,-8.114259877634337,,,,,20.41974,0.9043274,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4251656334767640576",4251656334767640576,282.27246878512267,-8.061811012807476,2.1873075080918407,-3.3942036176356845,-7.13878118781516,1.1435817,20.227976,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4251656781446093056",4251656781446093056,282.1391018701291,-8.083447471461254,0.7427723920624283,-3.074236109995671,-1.032647442206564,1.0194783,19.531578,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4254844781006157824",4254844781006157824,283.0420281351824,-5.151143839442764,-0.17293346590721786,-1.685723268720282,-6.316263546521176,1.0636505,19.644627,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4254844781006158336",4254844781006158336,283.0352428142319,-5.15703864479452,,,,,20.54126,2.1272926,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4252200455562334720",4252200455562334720,282.9948477519652,-7.063031944325685,,,,,20.342081,2.344202,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4252251960757139712",4252251960757139712,282.1903744525124,-7.568122724320767,0.35647562255831683,-1.6693754535229164,-3.5899473060475757,1.0324945,20.465078,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4252157230977287680",4252157230977287680,283.61974270659323,-7.185970703319717,0.7026569899776139,-4.9234472357504755,-2.1724006499406836,0.88280284,19.616615,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4252221483737316608",4252221483737316608,283.50423255503,-6.859119640593927,0.11917623365612318,-5.815435471792861,-0.7546600013108731,1.1241065,20.097189,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4252221483737319552",4252221483737319552,283.4994182802849,-6.863107249788254,,,,,20.801357,1.5588856,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4252351638438350336",4252351638438350336,281.981742177273,-7.026536069175919,-0.11201171432810372,-1.6668662483152232,-4.484378426941832,0.97143406,19.912401,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4252298861836835840",4252298861836835840,282.16317837472667,-7.172890983394439,-0.10285427628758101,-1.176267125957863,-6.920859524372086,0.92230093,19.03938,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4252300201867152768",4252300201867152768,282.0865162793612,-7.213463308197025,1.5894918966873095,-2.4068555063987636,-4.108845199537786,2.655968,17.610973,,,"VARIABLE",0,false,false,false,true,false,false,true,,,,,,,
"Gaia DR3 4252320474127264000",4252320474127264000,281.6290483060999,-7.241796514311894,-0.97114754611438,-2.831991771020688,-11.17658377808684,0.9244985,20.307566,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4252365932103548032",4252365932103548032,281.76350715230194,-6.991127849584659,-0.22077914806937313,-5.4467656676066785,-5.117670641074577,0.9750214,19.606552,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4252312193425475840",4252312193425475840,282.27218415157256,-6.938217844010544,0.048982768092894376,-5.02693820638514,-5.667535426990151,0.94218063,18.385437,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4252312193425476096",4252312193425476096,282.27238159575035,-6.938790124814236,,,,,19.612131,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
